Unnamed: 0,Hora,Temperatura_Media,Temperatura_Minima,Temperatura_Maxima,Brillo_Solar,Energia_Radiacion_Solar,Humedad_Relativa,Precipitaciones,Evaporaciones,Velocidad_del_Viento,FechaHora
4922,00:00:00,12.2,10.6,16.8,6.5,508.41,74.6,0.0,3.96,1.48,1993-06-23
4923,00:00:00,12.5,9.2,16.4,3.0,370.44,65.6,0.0,2.68,0.97,1993-06-24
4924,00:00:00,12.3,8.0,17.8,4.8,364.77,74.6,0.0,2.58,1.19,1993-06-25
4925,00:00:00,12.0,9.2,16.2,1.8,366.66,74.6,0.0,2.72,0.98,1993-06-26
4926,00:00:00,12.8,8.0,16.4,3.6,256.46,77.6,0.0,2.74,0.99,1993-06-27
4927,00:00:00,12.6,7.8,16.8,3.9,385.56,77.6,0.1,2.14,0.77,1993-06-28
4928,00:00:00,12.5,10.8,16.6,0.5,236.25,77.0,1.0,0.98,0.64,1993-06-29
4929,00:00:00,12.0,9.2,15.4,3.1,349.65,81.3,0.4,2.38,1.15,1993-06-30
4930,00:00:00,14.1,9.0,19.8,8.1,531.09,68.3,0.0,4.9,1.02,1993-07-01
4931,00:00:00,13.3,8.2,19.2,7.6,493.29,74.3,0.0,4.42,1.22,1993-07-02
4932,00:00:00,12.6,5.2,20.2,7.1,457.38,69.3,0.0,4.78,1.09,1993-07-03
4933,00:00:00,14.5,9.6,19.4,6.9,576.45,74.3,4.1,4.44,1.2,1993-07-04
4934,00:00:00,13.3,11.0,17.8,0.6000000000000001,304.29,70.6,0.2,2.14,0.91,1993-07-05
4935,00:00:00,12.7,8.4,17.4,8.4,549.99,74.6,0.0,3.94,0.98,1993-07-06
4936,00:00:00,12.4,5.2,17.4,5.8,406.35,77.0,0.6000000000000001,3.42,0.91,1993-07-07
4937,00:00:00,10.9,6.0,17.0,3.9,372.33,75.3,0.0,2.64,0.89,1993-07-08
4938,00:00:00,12.7,8.0,18.4,7.3,532.98,79.6,0.0,2.96,0.93,1993-07-09
4939,00:00:00,12.4,10.2,15.4,0.2,249.48,83.6,0.0,1.8,0.84,1993-07-10
4940,00:00:00,13.8,10.2,18.0,3.9,400.68,77.0,0.0,3.66,0.96,1993-07-11
4941,00:00:00,13.5,10.8,18.4,6.1,432.81,77.3,0.0,2.8,1.03,1993-07-12
4942,00:00:00,12.0,7.4,15.6,1.8,249.48,82.0,0.6000000000000001,1.6,1.08,1993-07-13
4943,00:00:00,12.4,8.0,17.2,4.2,429.03,77.6,0.6000000000000001,2.72,1.03,1993-07-14
4945,00:00:00,10.2,5.8,13.4,1.4,270.27,84.0,0.0,0.52,1.02,1993-07-16
4946,00:00:00,10.8,3.4,15.0,3.8,410.13,72.3,0.0,7.97,1.06,1993-07-17
4947,00:00:00,11.7,8.6,15.8,3.3,370.44,82.3,0.0,0.59,1.13,1993-07-18
4948,00:00:00,12.5,9.8,16.8,8.0,548.1,77.0,0.5,1.9,1.23,1993-07-19
4949,00:00:00,12.1,10.0,15.8,4.2,396.9,82.3,0.0,2.02,1.15,1993-07-20
4950,00:00:00,12.2,9.6,16.2,6.6,495.18,76.3,0.0,2.54,1.12,1993-07-21
4951,00:00:00,12.9,9.6,17.4,5.8,512.19,78.0,1.9,1.65,1.23,1993-07-22
4952,00:00:00,11.3,10.0,13.4,0.2,202.24,85.0,1.2,3.02,0.79,1993-07-23
4954,00:00:00,11.5,8.8,15.8,4.1,457.38,78.6,0.4,8.72,1.2,1993-07-25
4955,00:00:00,10.4,5.2,17.2,0.6000000000000001,294.84,84.0,3.9,4.98,0.8200000000000001,1993-07-26
4956,00:00:00,11.7,6.0,17.8,7.6,531.09,82.0,0.0,3.32,0.95,1993-07-27
4957,00:00:00,12.8,8.0,18.2,5.9,457.38,79.0,0.5,4.72,1.23,1993-07-28
4958,00:00:00,10.9,8.2,16.6,1.9,298.62,82.6,8.5,2.2,1.0,1993-07-29
4959,00:00:00,11.4,6.6,16.8,2.5,309.96,84.0,4.2,1.5,0.87,1993-07-30
4960,00:00:00,12.1,8.4,15.8,5.4,427.14,77.6,9.2,2.32,1.16,1993-07-31
4961,00:00:00,11.8,7.0,18.0,3.9,321.3,72.6,0.0,2.36,0.89,1993-08-01
4962,00:00:00,12.4,8.4,18.8,5.1,432.81,75.6,0.0,2.6,1.14,1993-08-02
4963,00:00:00,13.4,6.2,19.8,6.9,491.4,81.3,0.2,3.3,1.12,1993-08-03
4964,00:00:00,13.1,10.2,16.0,0.0,230.58,81.0,1.4,1.54,0.63,1993-08-04
4965,00:00:00,13.8,9.6,17.6,3.9,385.56,71.3,5.2,2.82,1.07,1993-08-05
4966,00:00:00,12.8,8.6,17.6,3.7,417.69,77.0,0.0,1.88,1.03,1993-08-06
4968,00:00:00,13.1,5.6,19.6,5.5,493.29,77.0,0.0,3.94,0.89,1993-08-08
4969,00:00:00,11.0,4.6,18.6,4.8,442.26,75.6,1.5,3.12,0.89,1993-08-09
4970,00:00:00,13.0,10.0,19.4,6.1,491.4,76.3,0.0,4.24,1.08,1993-08-10
4971,00:00:00,13.8,10.0,18.4,6.2,485.73,76.3,0.0,3.48,1.01,1993-08-11
4972,00:00:00,13.6,10.0,17.2,8.7,521.64,77.0,0.0,6.48,1.07,1993-08-12
4973,00:00:00,12.0,8.8,16.8,3.5,474.39,86.0,0.3,3.32,1.13,1993-08-13
4974,00:00:00,12.9,9.8,17.0,5.0,349.65,83.0,0.0,2.85,0.84,1993-08-14
4975,00:00:00,12.7,9.0,16.8,4.7,410.23,79.6,0.3,3.02,0.93,1993-08-15
4976,00:00:00,13.3,7.6,17.6,5.2,423.36,73.6,0.4,3.26,0.94,1993-08-16
4977,00:00:00,12.4,7.8,14.8,1.6,362.88,80.6,0.0,0.74,0.96,1993-08-17
4978,00:00:00,11.2,9.8,16.2,5.4,487.62,74.6,0.1,1.76,1.12,1993-08-18
